cliente_id;nome;email;telefone;cidade;data_cadastro;produto_compra
1;Ana Silva       ;ana.silva@email.com       ;351912345678;Lisboa   ;2023-01-10;Impressora    
2;Carlos Santos   ;carlos.santos@email.com   ;351913456789;Porto    ;2023-02-15;Headset       
3;Beatriz Oliveira;beatriz.oliveira@email.com;351914567890;Coimbra  ;2023-03-05;Webcam        
4;Jo�o Ferreira   ;joao.ferreira@email.com   ;351915678901;Braga    ;2023-04-20;Carregador USB
5;Maria Gon�alves ;maria.goncalves@email.com ;351916789012;Faro     ;2023-05-15;Impressora    
6;Ricardo Costa   ;ricardo.costa@email.com   ;351917890123;�vora    ;2023-06-25;Adaptador HDMI
7;Sofia Carvalho  ;sofia.carvalho@email.com  ;351918901234;Guimar�es;2023-07-30;Headset       
8;Tiago Rocha     ;tiago.rocha@email.com     ;351919012345;Set�bal  ;2023-08-10;Mouse         
9;Mariana Pinto   ;mariana.pinto@email.com   ;351920123456;Leiria   ;2023-09-12;Carregador USB
11;Maksym Yavorenko;maksymyavorenko@email.com ;380911456789;Kiev     ;2023-08-10;Mouse         
